date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:29	93/93	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2009:18:02%20GMT	https://7oroof.com/robots.txt		(from )
00:20:30	179866/179866	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2023:20:28%20GMT	https://7oroof.com/tfdemos/trevox/home-trendy/	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/home-trendy/index.html	(from )
00:20:30	2894/2894	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:16%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:30	38997/38997	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:24%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css?ver=4.7.0	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome1849.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:31	1750/1750	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick.css?ver=6.5.4	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick380f.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:31	4631/4631	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min.css?ver=6.5.4	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min380f.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:32	4000/4000	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme.css?ver=6.5.4	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme380f.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:32	7426/7426	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup.css?ver=6.5.4	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup380f.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:33	342/342	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather.css?ver=6.5.4	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather380f.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
00:20:33	3089/3089	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:39%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-wishlist/assets/css/icons.css?ver=4.8.5	C:/My%20Web%20Sites/Trendy-home/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-wishlist/assets/css/icons341d.css	(from https://7oroof.com/tfdemos/trevox/home-trendy/)
